ETossed,Wins,Losses
23,"gg, max, ","professor pro, rikzz, ",
big irf,"abbson, blackh4ze, jim morrison, king(x2), mint, parsec, prins esse, skullbro, ","3rd, Aiken, dronin, Eekim, leffen, makenshi, Moe, parsec, Squeachu, ",
abbearv,"blackh4ze(x2), charlon(x3), frenzy, king, kingu, liax, meady, niklas2912, prins esse, r23, raoul, shiftingshadows, ","frenzy, ice, jah ridin', kenshu, Madness, mahie(x2), max, meady, noxxa, pipsqueak(x2), shiftingshadows(x2), skullbro(x2), Smarted, ",
abbson,"","big irf, max, ozjung, Tellman, ",
amsah,"","",
blackh4ze,"","abbearv(x2), big irf, FrankTheFisher, fuzzyness, gongong, ILikeTurtles, liax, NVZ(x2), prins esse, r23, savestate, sharp, Squeachu, timi, Toa, velani(x2), zck, ",
bose,"fout nl, marah, mayhem092, velani, ","levingy, Little Bear, MintGreen, niklas2912, ninjagofan72, noxxa, pipsqueak, timi, velani, ",
charlon,"fout nl(x2), ","abbearv(x3), dronin, Madness, mayhem092, parsec, raoul, rikzz, skullbro, timi, ",
charon,"king, ","nicki(x2), ",
marlo,"","Calle W, leffen, poppmaister6000, ",
daydee,"liax, marah, ","poppmaister6000, rikzz, ",
dronin,"big irf, charlon, rikzz, ","humpe, kins0, niklas2912, ",
fat tino,"fout nl, laurster, luan, max, mayhem092, meady, modestmajor, setchi, shiftingshadows, timi, ","frenzy, ice, kins0(x2), levingy, max(x2), nicki, Okameed, professor pro, rikzz, trif, ",
fout nl,"laurster, max, raoul, renzo, savestate(x2), skullbro(x2), ","10QuidShoes, bose, charlon(x2), fat tino, frenzy(x2), humpe(x2), ice(x2), king, kingu, kins0, nicki(x2), parsec, professor pro, r23, rikzz, skullbro, ",
frenzy,"abbearv, fat tino, fout nl(x2), fuzzyness(x2), humpe, ice(x5), isdsar, jah ridin', jamie, king, kingu, kins0(x2), laurster, levingy(x2), liax(x2), mahie(x3), makenshi, max(x2), meady(x4), mint(x3), pipsqueak(x2), poppmaister6000, prins esse(x2), professor pro(x6), r23, raoul(x3), rikzz(x3), setchi, sharp, skullbro(x3), solobattle(x2), timi, trif(x2), velani(x3), ","abbearv, ice, jah ridin', kins0(x2), leffen(x3), meady(x3), nicki, pipsqueak(x3), professor pro(x3), raoul, sharp, solobattle, trif(x7), ",
fuzzyness,"blackh4ze, gg, luan, mahie, ninjagofan72, raoul, rikzz, velani, ","frenzy(x2), jah ridin', leffen, levingy, max(x2), mint, nicki, Pi, pipsqueak, solobattle, ",
gg,"laurster, noxxa, schima, shiftingshadows, ","23, fuzzyness, jamie, Little Bear, luan, Madness, max, meady, rikzz, Silas, Squeachu, ",
humpe,"dronin, fout nl(x2), jamie, jeapie, king, malmortis, max, noxxa, prins esse(x2), sharp, timi, ","frenzy, Jayson, mahie(x2), max, paju, pipsqueak, prins esse, skullbro, trif, velani, ",
ice,"abbearv, fat tino, fout nl(x2), frenzy, jamie, kins0(x2), mahie, meady(x2), nicki(x2), ninjagofan72, pipsqueak(x2), prins esse, professor pro(x2), raoul(x3), rikzz, sharp(x2), shiftingshadows, skullbro(x4), steff$, velani, ","frenzy(x5), leffen, mint, pipsqueak(x2), professor pro(x2), solobattle, trif(x3), ",
isdsar,"","frenzy, trif, ",
jah ridin',"abbearv, frenzy, fuzzyness, jim morrison, king, kins0, levingy(x2), mahie, makenshi, max(x2), mayhem092, meady, mint, noxxa, pipsqueak, raoul, rikzz, schima, sharp, skullbro(x2), timi(x2), velani, yogurt, ","frenzy, kins0(x3), leffen(x3), levingy, mint, nicki, pipsqueak, professor pro(x3), solobattle(x2), trif(x2), ",
jamie,"gg, laurster, mayhem092, meady, schima, senx, ","frenzy, humpe, ice, King Funk, kins0, levingy, Little Bear, NVZ, Pi, r23, raoul, renzo, Rev, rikzz, Roryx, sharp, skullbro(x2), solobattle(x2), trif, velani, Verdant, Vivi, ",
jeapie,"laurster, liax, meady, niklas2912, noxxa, poilon, senx, skullbro, ","Flexqz, humpe, kins0, mahie, max, mayhem092, professor pro(x2), solobattle, trif, ",
jim morrison,"poppmaister6000, r23, skullbro, ","big irf, Happymealz, jah ridin', king, Mezzy, nicki, r23, RestlessWhale, timi, trif, ",
king,"fout nl, jim morrison, liax, noxxa, paju, schima, ","abbearv, big irf(x2), charon, frenzy, hot atze sommer, humpe, jah ridin', kins0, levingy, MadeInShineA, mint(x2), nebbii, parsec, Raisem, rikzz(x2), schima, skullbro, Tinker, yogurt, yung Ullrich(x2), ",
kingu,"fout nl, liax, meady, parsec(x2), rikzz, schima, ","abbearv, frenzy, Kidder, levingy(x2), makenshi, prins esse, rikzz, skullbro(x3), timi, Veldor, Zepple, ",
kins0,"dronin, fat tino(x2), fout nl, frenzy(x2), jah ridin'(x3), jamie, jeapie, king, levingy, liax(x2), luan, mahie, max(x3), meady(x3), mint, nicki, noxxa, parsec, pipsqueak, poilon(x2), professor pro, rikzz(x2), schima(x2), skullbro, ","frenzy(x2), ice(x2), jah ridin', laurster, leffen(x3), nicki(x3), pipsqueak(x4), professor pro(x2), rikzz, solobattle, trif(x3), ",
laurster,"kins0, modestmajor, noxxa, shiftingshadows, velani, ","Calle W, fat tino, fout nl, frenzy, gg, Gr4pe, jamie, jeapie, Ludderix, Matt Smith, max, meady, niklas2912(x2), NVZ, paju, r23, rikzz, savestate, shiftingshadows, skullbro, Spino, ",
leffen,"big irf, frenzy(x3), fuzzyness, ice, jah ridin'(x3), kins0(x3), mahie, makenshi, marlo, max, meady, mint, nicki(x3), ninjagofan72, pipsqueak(x2), professor pro, solobattle, trif(x5), ","pipsqueak(x2), ",
levingy,"bose, fat tino, fuzzyness, jah ridin', jamie, king, kingu(x2), liax, mahie(x2), mayhem092, meady(x2), mint, ninjagofan72, noxxa(x2), paju, parsec, raiden, sharp(x2), shiftingshadows, solobattle, trif, ","frenzy(x2), jah ridin'(x2), kins0, makenshi, mint, nicki(x2), prins esse, professor pro(x2), rikzz(x3), sharp, skullbro, solobattle, timi, trif, ",
liax,"blackh4ze, mayhem092, poilon, shiftingshadows, timi, yogurt, ","abbearv, daydee, frenzy(x2), jeapie, king, kingu, kins0(x2), levingy, Madness, max, meady, niklas2912, noxxa, NVZ, parsec, Paytay, prins esse(x2), Raptori, RedBlaze, setchi, ",
luan,"gg, ","fat tino, fuzzyness, kins0, raoul, ",
mint,"fuzzyness, ice, jah ridin', king(x2), levingy, mahie(x2), max(x2), mayhem092, nicki, niklas2912(x2), parsec, pipsqueak(x3), prins esse, raoul, savestate, solobattle, ","big irf, frenzy(x3), Gabe, jah ridin', kins0, leffen, levingy, mahie, makenshi, nicki, professor pro, solobattle, timi, trif(x2), ",
mahie,"abbearv(x2), humpe(x2), jeapie, max, mayhem092, meady, mint, nicki, niklas2912, noxxa, paju, parsec(x2), pipsqueak, r23(x2), rikzz(x2), senx, sharp, skullbro(x2), trif, ","frenzy(x3), fuzzyness, ice, jah ridin', kins0, leffen, levingy(x2), makenshi, meady(x2), mint(x2), Moe, nicki(x3), noxxa, pipsqueak, professor pro, raiden, raoul, rikzz, schima, sharp, skullbro, Smarted, solobattle, Sverre, trif, ",
makenshi,"big irf, kingu, levingy, mahie, mint, niklas2912, rikzz, schima, ","frenzy, jah ridin', leffen, nicki, ",
malmortis,"","humpe, trif, velani, Weston, ",
marah,"","bose, daydee, Meruem, Pi, ",
