ETossed,Wins,Losses
2saint,"n0ne/ Bond / wizzyfan109, TheSWOOPER, ","Aklo, Axe, Colbol, Hungrybox, iBDW(x2), Jflex, Jmook, Logan, Luigi Ka-Master, moky, Plup, SluG, ",
Aklo,"2saint, Axe, Captain Smuckers(x2), Colbol, Ginger, n0ne/ Bond / wizzyfan109, Rishi(x2), SFAT, SluG, Warmmer, Zamu, ","aMSa, Gahtzu, Ice, Logan, n0ne/ Bond / wizzyfan109, Plup, SFAT, Trif, Warmmer, Wizzrobe(x2), Zain, ",
Albert,"Android 0, Dacky, Eddy Mexico, FatGoku, Frenzy, Justus, Kurv, Pappi, Secrets, SFOP, ","Aura, Faceroll(x2), iBDW, Palpa, S2J, SDJ, SFAT, ",
aMSa,"Aklo, Far!, Free Palestine, Gahtzu, Hungrybox, Jmook, Kalamazhu, lloD, Mang0(x2), n0ne/ Bond / wizzyfan109, SFAT, ","Axe, Hungrybox, iBDW, Plup, Trif, Wizzrobe, Zain, ",
Android 0,"Fiction, null, Nut, Secrets, Shroomed, Wevans, ","Albert, Aura, Axe, bobby big ballz, Eddy Mexico, Fiction, Krudo, Lucky, Rocky(x2), S2J, SDJ, ",
Aura,"Albert, Android 0, ","Drephen, Frenzy, Gahtzu, KoDoRiN, Medz, Mew2King, S2J, Wizzrobe, ",
Axe,"2saint, aMSa, Android 0, Ben, bobby big ballz, Faceroll(x2), Jflex, KoDoRiN(x2), Krudo, Kurv, Logan(x2), Mot$, NoFluxes(x2), SFOP, Wally, Zamu, Zealot, ","Aklo, Ginger(x2), iBDW(x2), Plup, Secrets, SFAT, Sora/Joshman, Trif, Wizzrobe(x2), ",
Azel,"Ringler, ","Logan, Medz, ",
Ben,"Drephen(x2), Jflex, Magi, Polish, Swift, Wally, Wizzrobe, Zamu, ","Axe, Faceroll, Gahtzu, Ginger(x3), Hungrybox, lloD, Logan, n0ne/ Bond / wizzyfan109, Sora/Joshman, Trif, Zamu, ",
billybopeep,"","Faceroll, Medz, Plup, Tai, ",
bobby big ballz,"Android 0, Eggy, SDJ, Shroomed, ","Axe, Bbatts, Fiction, Gahtzu, JJM, Logan, Medz, SFAT, Skerzo, Tai, Zamu, Zealot, ",
Bones,"Wally, ","Khryke, Skerzo, ",
Captain Smuckers,"TheSWOOPER, ","Aklo(x2), Kikoho, YAMI, ",
Chape,"Spark, ","Colbol, Pipsqueak, Polish, ",
