ETossed,Wins,Losses
2saint,"n0ne/ bond / wizzyfan109,theswooper,","aklo,axe,colbol,hungrybox,ibdw(x2),jflex,jmook,logan,luigi ka-master,moky,plup,slug,",
aklo,"2saint,axe,captain smuckers(x2),colbol,ginger,n0ne/ bond / wizzyfan109,rishi(x2),sfat,slug,warmmer,zamu,","amsa,gahtzu,ice,logan,n0ne/ bond / wizzyfan109,plup,sfat,trif,warmmer,wizzrobe(x2),zain,",
albert,"android 0,dacky,eddy mexico,fatgoku,frenzy,justus,kurv,pappi,secrets,sfop,","aura,faceroll(x2),ibdw,palpa,s2j,sdj,sfat,",
amsa,"aklo,far!,free palestine,gahtzu,hungrybox,jmook,kalamazhu,llod,mang0(x2),n0ne/ bond / wizzyfan109,sfat,","axe,hungrybox,ibdw,plup,trif,wizzrobe,zain,",
android 0,"fiction,null,nut,secrets,shroomed,","albert,aura,axe,bobby big ballz,eddy mexico,fiction,krudo,lucky,rocky(x2),s2j,sdj,",
aura,"albert,android 0,","drephen,frenzy,gahtzu,kodorin,medz,mew2king,s2j,wizzrobe,",
axe,"2saint,amsa,android 0,ben,bobby big ballz,faceroll(x2),jflex,kodorin(x2),krudo,kurv,logan(x2),mot$,nofluxes(x2),sfop,wally,zamu,zealot,","aklo,ginger(x2),ibdw(x2),plup,secrets,sfat,sora/joshman,trif,wizzrobe(x2),",
ben,"drephen(x2),jflex,magi,polish,swift,wally,wizzrobe,zamu,","axe,faceroll,gahtzu,ginger(x3),hungrybox,llod,logan,n0ne/ bond / wizzyfan109,sora/joshman,trif,zamu,",
billybopeep,"","faceroll,medz,plup,tai,",
bobby big ballz,"android 0,eggy,sdj,shroomed,","axe,fiction,gahtzu,logan,medz,sfat,skerzo,tai,zamu,zealot,",
bones,"wally,","khryke,skerzo,",
captain smuckers,"theswooper,","aklo(x2),",
chem,"eggy,free palestine,mot$,skerzo,","gahtzu,mot$,warmmer,",
colbol,"2saint,drephen,fiction,ginger,logan,spark,theswooper,","aklo,ibdw,pipsqueak,polish,wizzrobe,zain,",
dacky,"kalamazhu,mot$,","albert,ibdw,kodorin,lucky,rocky,zuppy,",
drephen,"aura,morsecode762,ringler,skerzo(x4),theswooper(x2),","ben(x2),colbol,ginger,kjh(x2),llod,polish,sdj,slug,wally,zamu,",
eddy mexico,"android 0,kalamazhu,krudo,","albert,wizzrobe,",
eggy,"kalvar,null,","bobby big ballz,chem,hungrybox,juicebox,logan,warmmer,",
