ETossed,Wins,Losses
Hungrybox,"2saint, Aklo(x9), Albert, aMSa, Ben(x6), bobby big ballz(x8), Bones, Chem, Colbol(x2), Eggy, Fiction, Free Palestine, Gahtzu, Ginger(x10), iBDW, Jflex(x6), Justus, Kalamazhu, Khryke, KoDoRiN(x4), lloD, Logan, Luigi Ka-Master, Magi(x3), Mang0, Medz, moky(x2), n0ne/ Bond / wizzyfan109(x5), Nicki, Panda(x3), Pipsqueak, Rishi, Rocky, S2J(x2), SDJ, Secrets, SFAT(x3), Skerzo, SluG(x3), Sock, Swift(x3), Wizzrobe, Zamu(x2), Zuppy, ","2saint, Aklo(x2), Albert, aMSa, Balloon Day, Ben(x9), Blues Clues, Bones, BZimm, Elliot, Gahtzu, Ginger(x6), Hax$(x2), iBDW(x3), KoDoRiN, Kuyashi, Leffen, Lucky, Mang0(x2), n0ne/ Bond / wizzyfan109(x2), Plup, Polish(x2), S2J(x4), Swift, Wizzrobe(x5), Zain(x3), ",
Leffen,"Frenzy(x4), Hungrybox, Ice, Jah Ridin'(x3), Magi, Nicki(x4), null, Pipsqueak(x3), Professor Pro, Swift, Trif(x5), ","Frenzy, iBDW, Mang0, Pipsqueak(x3), Wizzrobe, ",
Mang0,"Free Palestine, Hungrybox(x2), iBDW, KoDoRiN(x2), Leffen, Lucky, moky(x2), n0ne/ Bond / wizzyfan109, Plup, Swift, Wizzrobe(x2), Zain(x3), ","aMSa(x2), Hungrybox, iBDW, Kalamazhu, Plup, SFAT, Zain, ",
Axe,"2saint, Aklo, aMSa, Android 0, Ben(x3), bobby big ballz(x2), Faceroll(x2), Ginger, Jflex, Justus, KoDoRiN(x3), Krudo, Logan(x2), NoFluxes, Rishi, SDJ, SFOP(x2), Wally, Zamu, Zealot, ","2saint, Aklo(x3), Albert, Aura, billybopeep, bobby big ballz(x2), DankBot, Gahtzu, Ginger(x4), iBDW(x2), Medz(x2), moky, Plup, Polish, S2J(x2), Secrets, SFAT(x3), Sora/Joshman, Trif, Wizzrobe(x2), Zain, ",
Wizzrobe,"2saint(x2), Aklo(x3), aMSa, Aura, Axe(x2), Colbol, Flash(x3), Frenzy, Ginger(x3), Hungrybox(x5), KoDoRiN(x2), Leffen, lloD(x2), Logan, Lucky, Magi, Mew2King, null, Polish, Rocky, SFAT(x2), Skerzo, TheSWOOPER, Trif, Zealot, ","Ben, Hungrybox, iBDW(x2), Magi, Mang0(x2), moky, n0ne/ Bond / wizzyfan109, Plup(x3), Zain, ",
Zain,"2saint, Aklo, aMSa, Axe, bobby big ballz, Bones, Colbol, Gahtzu, Ginger, Hungrybox(x3), iBDW(x2), Kalamazhu, KoDoRiN(x2), lloD, Mang0, moky, n0ne/ Bond / wizzyfan109, Plup, Polish, Ryobeat, S2J(x2), SFAT, SluG, Sora/Joshman, Wizzrobe, Zamu, ","Aklo, Anwarrior, Ben, bobby big ballz, flatline, iBDW, Jflex, Jmook, JOJI, Kadence, Kaiser, lloD, Mang0(x3), ORLY, S2J, Siddward, Tyroy, ",
aMSa,"Aklo, Far!, Free Palestine, Gahtzu, Hungrybox, Jmook, Kalamazhu, lloD, Mang0(x2), n0ne/ Bond / wizzyfan109, SFAT, ","Axe, Hungrybox, iBDW, Plup, Trif, Wizzrobe, Zain, ",
Plup,"2saint, Aklo, aMSa, Axe, Ben, billybopeep, Dacky, Faceroll(x2), Fiction, Gahtzu, Ginger, Hungrybox, iBDW, Ice, Juicebox, KoDoRiN(x2), Logan, Lucky, Mang0, Medz, n0ne/ Bond / wizzyfan109(x2), Pipsqueak, SFAT(x3), Wizzrobe(x3), ","iBDW(x2), Mang0, SFAT, Zain, ",
iBDW,"2saint(x2), Albert(x2), aMSa, Axe(x2), Ben, Chem(x2), Colbol, Dacky(x2), Gahtzu, Ginger, Hungrybox(x3), Kalvar, KoDoRiN(x2), Krudo, Leffen, lloD, Logan(x2), Mang0, Medz, moky, Mot$, Panda, Pipsqueak, Plup(x2), Polish(x2), S2J(x2), SFAT(x3), Skerzo, Swift, Wally, Warmmer, Wizzrobe(x2), Zain, Zealot, Zuppy, ","Aklo, Ben Snape, Chem, Drephen, Ginger, Hungrybox, Jmook, Joe(y) Bats, Just Jason, KoDoRiN, Lotfy, Mang0, Plup, Polish, S2J(x3), TheSWOOPER, Zain(x2), ",
Mew2King,"Aura, Frenzy, ","Epic Murloc, KoDoRiN, Mekk, Wizzrobe, ",
S2J,"Albert, Android 0(x3), Aura(x2), Axe(x2), Ben(x3), bobby big ballz(x18), Dacky(x3), Fiction(x2), Gahtzu, Ginger(x2), Hungrybox(x4), iBDW(x3), Jflex(x2), Jmook, Kalamazhu(x2), Khryke, KoDoRiN(x7), Logan(x2), Lucky(x4), Magi(x2), Medz(x4), moky, n0ne/ Bond / wizzyfan109, NoFluxes, null(x3), nut, Palpa(x2), Panda, Pappi(x4), Ringler, Rocky(x5), Ryobeat, SDJ(x6), SFAT(x5), Shroomed(x2), SluG, TheSWOOPER, Zain, Zamu, ","2saint(x4), Albert, bobby big ballz(x2), FatGoku(x2), Fiction(x4), Gahtzu, Hungrybox(x2), iBDW(x2), KoDoRiN(x4), Lucky(x4), n0ne/ Bond / wizzyfan109, OkayP., Pappi, Rocky(x3), SFAT(x5), SFOP, Zain(x2), ",
Fiction,"Android 0(x6), bobby big ballz, Jflex, KoDoRiN(x2), Lucky(x4), Luigi Ka-Master, Medz, Mot$, n0ne/ Bond / wizzyfan109, null(x11), nut(x5), Panda, Ringler(x2), Rocky, S2J(x4), SFOP, Sock, Sora/Joshman(x2), Spark, Tai, ","Albert, Android 0(x2), ARMY, Asashi, Casper, Colbol, Faceroll, FatGoku(x2), Franz(x2), Ginger(x2), Hungrybox, KoDoRiN(x5), Lucky, ManRay, Nicki, null(x2), nut, Plup, S2J(x2), SFAT, Spark(x2), Westballz(x3), ",
SFAT,"2saint(x2), Aklo(x4), Albert(x3), Aura(x2), Axe(x3), Ben, bobby big ballz(x7), Bones, Chem, Faceroll, Fiction, Free Palestine(x3), Gahtzu(x2), Ginger, KoDoRiN(x6), lloD, Logan(x2), Lucky(x2), Mang0, Medz(x3), Mot$, n0ne/ Bond / wizzyfan109(x2), Pappi(x5), Plup, Professor Pro, Rocky(x5), S2J(x5), SFOP(x2), Sora/Joshman, Tai, Zamu(x2), Zealot, ","Aklo, aMSa, bobby big ballz(x5), Epic Murloc, Gahtzu, Ginger(x2), Hungrybox(x3), iBDW(x3), KoDoRiN(x6), Magi(x3), Plup(x3), Rocky, S2J(x5), Smashdaddy, Soonsay, Trail, Wizzrobe(x2), Zain, Zamu, ",
moky,"2saint(x2), Aklo, Axe, bobby big ballz(x2), Bones, Dacky, Drephen, Gahtzu, Ginger(x5), Jflex(x2), Jmook, n0ne/ Bond / wizzyfan109(x2), Polish, Wizzrobe, ","Aero, DontTestMe(x2), Ginger, Hungrybox(x2), iBDW, JHTL, Joey Donuts, Kalamazhu, KoDoRiN, Logan, Mang0(x2), n0ne/ Bond / wizzyfan109(x2), S2J, Siddward, Suezo, Swami, Syrox(x2), totally butts, Zain, ",
n0ne/ Bond / wizzyfan109,"2saint, Aklo(x3), Albert, Ben(x7), bobby big ballz(x6), Dacky, Far!, Fizz, Ginger(x8), Hungrybox(x2), Jflex(x3), Juicebox, KoDoRiN(x4), Logan, Lucky(x3), Magi(x3), moky(x2), Mot$, NoFluxes, nut, Panda, Polish, S2J, Skerzo, Slowking, Swift, TheSWOOPER, Wizzrobe, Zamu(x2), Zuppy(x3), ","2saint(x2), Aklo(x2), aMSa, Ben, Colbol, Fiction, Gahtzu(x3), Ginger, Hungrybox(x5), Jmook, KoDoRiN(x3), lloD, Lucky(x3), Mang0, moky(x2), Mot$, OkayP.(x2), Panda, Plup(x2), Polish, S2J, SFAT(x2), SluG, Zain, ",
Trif,"Aklo, aMSa, Axe, Ben, Faceroll(x2), Frenzy(x8), Ice(x3), Jah Ridin'(x2), Nicki(x3), Pipsqueak(x3), Professor Pro, Sora/Joshman, ","Frenzy(x2), Leffen(x5), Levingy, Mahie, max, Pipsqueak(x2), Polish, Professor Pro(x3), skullbro, Wizzrobe, ",
Faceroll,"Albert(x2), Android 0, Ben, billybopeep, Fiction, Jflex, Kalamazhu(x2), KJH, KoDoRiN(x4), Magi, Medz, Mot$, Pappi, Sora/Joshman, ","Aklo, Axe(x2), Gahtzu, Lucky(x3), null, Plup(x2), SFAT, Spark, Trif(x2), ",
