ETossed,Hungrybox,Leffen,Mang0,Axe,Wizzrobe,Zain,aMSa,Plup,iBDW,Mew2King,S2J,Fiction,SFAT,moky,n0ne/ Bond / wizzyfan109,Trif,Faceroll,Hax$,Swedish Delight,Lucky,Ginger,Spark,Chudat,lloD,ARMY,KJH,Shroomed,Westballz,Medz,Professor Pro,2saint,Gahtzu,Albert,FatGoku,Rishi,Magi,Morsecode762,Zamu,Drephen,Michael,Ice,billybopeep,Colbol,Kalamazhu,Aura,nut,Kalvar,Polish,Tai,Squid,Forrest,KoDoRiN,Free Palestine,Ryobeat,Luigi Ka-Master,KÃƒÂ¼rv,Frenzy,bobby big ballz,Franz,Nicki,TheRealThing,Umarth,Rocky,htwa,Panda,TheSWOOPER,Azel,Fizzwiggle,Krudo,Kuyashi,Leighton,null,Smashdaddy,Sora/Joshman,Wevans,Akir,Aklo,Android 0,Bbatts,Ben,Blues Clues,Bones,Captain Smuckers,Casper,Chape,Chem,Dacky,Dawson,DontTestMe,Eddy Mexico,Eggy,Fank,Far!,Fizz,Flash,Freezus,Grab,Jah Ridin',Jflex,Jmook,Jojo,JSalt,Juicebox,Just Jason,Justus,K8A,Kata,Komodo,Koobie,Khryke,Kins0,Logan,Lotfy,Mekk,MINT,Mot$,Neologism,NoFluxes,NOOT,Ober,OkayP.,orly,Palpa,Pappi,Pipsqueak,Quaff,Rei,Ringler,Salt,Secrets,SDJ,SFOP,Skerzo,Slowking,SluG,Sock,Solobattle,Soonsay,Suezo,Swift,The Leaf,Trail,Travioli,Typhoon,Unsure,Wally,Warmmer,Whiskers,Zealot,Zeeker,Zuppy,Other losses
Hungrybox,N/A,0-1,1-2,0-0,1-5,0-3,1-1,0-1,1-3,0-0,2-4,1-0,3-0,2-0,5-2,0-0,0-0,1-2,0-0,0-1,10-6,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,1-1,1-1,1-1,0-0,1-0,3-0,0-0,2-0,0-0,0-0,0-0,0-0,2-0,1-0,0-0,0-0,0-0,0-2,0-0,0-0,1-0,4-1,1-0,0-0,1-0,0-0,0-0,8-0,0-0,1-0,1-0,1-0,1-0,0-0,3-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,1-0,0-0,0-0,2-0,9-2,0-0,2-0,6-9,0-1,1-1,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,6-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,4-0,0-0,0-0,1-0,0-0,1-0,4-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,1-0,1-0,0-0,1-0,0-0,3-0,1-0,0-0,1-0,2-0,3-1,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,1-0,"Balloon Day, Elliot, BZimm",
Leffen,1-0,N/A,0-1,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,5-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,4-1,0-0,0-0,4-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,4-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,4-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,
Mang0,2-1,1-0,N/A,0-0,2-0,3-1,0-2,1-1,1-1,0-0,0-0,0-0,0-1,2-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,
Axe,0-0,0-0,0-0,N/A,0-2,0-1,1-0,0-1,0-2,0-0,0-2,0-0,0-3,0-1,0-0,0-1,2-0,0-0,0-0,0-0,1-4,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,1-1,0-1,0-1,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-0,3-0,0-0,0-0,0-0,0-0,0-0,2-2,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,1-3,1-0,0-0,3-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,3-0,0-0,0-0,1-0,0-1,1-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,DankBot,
Wizzrobe,5-1,1-0,0-2,2-0,N/A,0-1,1-0,0-3,0-2,1-0,0-0,0-0,2-2,0-1,0-1,1-0,0-0,0-0,0-0,1-0,3-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,1-0,3-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,,
Zain,3-0,0-0,1-3,1-0,1-0,N/A,1-0,1-0,2-1,0-0,2-1,0-0,1-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,2-0,0-0,1-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-1,0-0,0-0,0-1,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-1,0-1,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,"JOJI, Siddward",
aMSa,1-1,0-0,2-0,0-1,0-1,0-1,N/A,0-1,0-1,0-0,0-0,0-0,1-0,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,
Plup,1-0,0-0,1-1,1-0,3-0,0-1,1-0,N/A,1-2,0-0,0-0,1-0,3-1,0-0,2-0,0-0,2-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,4-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,
iBDW,3-1,1-0,1-1,2-0,2-0,1-2,1-0,2-1,N/A,0-0,2-3,0-0,3-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,1-0,0-0,0-0,0-0,1-0,1-0,0-0,2-0,1-0,2-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,2-1,0-0,0-0,0-0,2-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,1-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,2-1,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-1,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,1-0,1-0,0-0,1-0,1-0,1-0,"Ben Snape, Joe(y) Bats",
Mew2King,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,Epic Murloc,
