ETossed,Hungrybox,Leffen,Mang0,Axe,Wizzrobe,Zain,aMSa,Plup,iBDW,Mew2King,S2J,Fiction,SFAT,moky,n0ne/ Bond / wizzyfan109,Trif,Faceroll,Lucky,Ginger,Spark,lloD,KJH,Shroomed,Medz,Professor Pro,2saint,Gahtzu,Albert,Rishi,Magi,Morsecode762,Zamu,Drephen,Michael,Ice,billybopeep,Colbol,Kalamazhu,Aura,nut,Kalvar,Polish,Tai,KoDoRiN,Free Palestine,Ryobeat,Luigi Ka-Master,Kurv,Frenzy,bobby big ballz,Nicki,Rocky,Panda,TheSWOOPER,Fizz,Krudo,Sora/Joshman,Aklo,Android 0,Ben,Bones,Captain Smuckers,Chape,Chem,Dacky,Eggy,Far!,Flash,Jah Ridin',Jflex,Jmook,Juicebox,Justus,Khryke,Logan,Mekk,Mot$,NoFluxes,null,Palpa,Pappi,Pipsqueak,Ringler,SDJ,Secrets,SFOP,Skerzo,Slowking,SluG,Sock,Swift,Wally,Warmmer,Zealot,Zuppy,Other losses
Hungrybox,N/A,0-1,1-2,0-0,1-5,0-3,1-1,0-1,1-3,0-0,2-4,1-0,3-0,2-0,5-2,0-0,0-0,0-1,10-6,0-0,1-0,0-0,0-0,1-0,0-0,1-1,1-1,1-1,1-0,3-0,0-0,2-0,0-0,0-0,0-0,0-0,2-0,1-0,0-0,0-0,0-0,0-2,0-0,4-1,1-0,0-0,1-0,0-0,0-0,8-0,1-0,1-0,3-0,0-0,0-0,0-0,0-0,9-2,0-0,6-9,1-1,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,6-0,0-0,0-0,1-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,1-0,0-0,1-0,0-0,3-0,1-0,3-1,0-0,0-0,0-0,1-0,"Balloon Day, Blues Clues, Elliot, Kuyashi, Hax$, BZimm, Hax$",
Leffen,1-0,N/A,0-1,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,5-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,4-1,0-0,4-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,3-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,,
Mang0,2-1,1-0,N/A,0-0,2-0,3-1,0-2,1-1,1-1,0-0,0-0,0-0,0-1,2-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,2-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,,
Axe,0-0,0-0,0-0,N/A,0-2,0-1,1-0,0-1,0-2,0-0,0-2,0-0,0-3,0-1,0-0,0-1,2-0,0-0,1-4,0-0,0-0,0-0,0-0,0-2,0-0,1-1,0-1,0-1,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-1,0-0,3-0,0-0,0-0,0-0,0-0,0-0,2-2,0-0,0-0,0-0,0-0,0-0,1-0,0-1,1-3,1-0,3-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,2-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,2-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,DankBot,
Wizzrobe,5-1,1-0,0-2,2-0,N/A,0-1,1-0,0-3,0-2,1-0,0-0,0-0,2-0,0-1,0-1,1-0,0-0,1-0,3-0,0-0,2-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,1-0,0-0,2-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,3-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,,
Zain,3-0,0-0,1-3,1-0,1-0,N/A,1-0,1-0,2-1,0-0,2-1,0-0,1-0,1-0,1-0,0-0,0-0,0-0,1-0,0-0,1-1,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,1-0,0-0,2-0,0-0,1-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-1,0-0,0-1,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,"JOJI, Siddward, Kadence, Anwarrior, ORLY, flatline, Kaiser, Tyroy",
aMSa,1-1,0-0,2-0,0-1,0-1,0-1,N/A,0-1,0-1,0-0,0-0,0-0,1-0,0-0,1-0,0-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,
Plup,1-0,0-0,1-1,1-0,3-0,0-1,1-0,N/A,1-2,0-0,0-0,1-0,3-1,0-0,2-0,0-0,2-0,1-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,
iBDW,3-1,1-0,1-1,2-0,2-0,1-2,1-0,2-1,N/A,0-0,2-3,0-0,3-0,1-0,0-0,0-0,0-0,0-0,1-1,0-0,1-0,0-0,0-0,1-0,0-0,2-0,1-0,2-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,2-1,0-0,2-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-0,1-0,0-0,0-1,0-0,1-0,0-0,0-0,0-0,2-1,2-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,2-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,1-0,1-0,1-0,1-0,"Ben Snape, Joe(y) Bats, Lotfy, Just Jason",
Mew2King,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,Epic Murloc,
