ETossed,Wins,Losses
Hungrybox,"2saint, Akir(x2), Aklo(x9), Albert, aMSa, Bbatts(x2), Ben(x6), bobby big ballz(x8), Bones, Casper, Colbol(x2), Dawson, Eggy, Fiction, Forrest, Free Palestine, Freezus, Gahtzu, Ginger(x10), Hax$, iBDW, Jflex(x6), JSalt, Justus, Kalamazhu, Kata(x4), Khryke, KoDoRiN(x4), Kuyashi, lloD, Logan, Lotfy(x4), Luigi Ka-Master, Magi(x3), Mang0, Medz, moky(x2), n0ne/ Bond / wizzyfan109(x5), Neologism, Nicki, Panda(x3), Pipsqueak, Rei, Rishi, Rocky, S2J(x2), SDJ, Secrets, SFAT(x3), Skerzo, SluG(x3), Smashdaddy, Sock, Soonsay, Suezo(x2), Swift(x3), TheRealThing, Travioli, Umarth, Unsure, Wizzrobe, Zamu(x2), Zeeker, Zuppy, ","2saint, Aklo(x2), Albert, aMSa, Balloon Day, Ben(x9), Blues Clues, Bones, BZimm, Elliot, Gahtzu, Ginger(x6), Hax$(x2), iBDW(x3), KoDoRiN, Kuyashi, Leffen, Lucky, Mang0(x2), n0ne/ Bond / wizzyfan109(x2), Plup, Polish(x2), S2J(x4), Swift, Wizzrobe(x5), Zain(x3), ",
Leffen,"Frenzy(x4), Hungrybox, Ice, Jah Ridin'(x3), Kins0(x4), Magi, MINT, Nicki(x4), null, Pipsqueak(x3), Professor Pro, Solobattle(x4), Swift, Trif(x5), ","Frenzy, iBDW, Mang0, Pipsqueak(x3), Wizzrobe, ",
Mang0,"Free Palestine, Hungrybox(x2), iBDW, KoDoRiN(x2), Leffen, Lucky, moky(x2), n0ne/ Bond / wizzyfan109, Plup, Swift, Wizzrobe(x2), Zain(x3), ","aMSa(x2), Hungrybox, iBDW, Kalamazhu, Plup, SFAT, Zain, ",
Axe,"2saint, Aklo, aMSa, Android 0, Ben(x3), Blues Clues, bobby big ballz(x2), Dawson, Faceroll(x2), Franz, Ginger, Jflex, Justus, KoDoRiN(x3), Krudo, Logan(x2), NoFluxes, NOOT, Ober, Quaff(x3), Rishi, Salt, SDJ, SFOP(x2), TheRealThing, Trail, Typhoon, Wally, Zamu, Zealot, ","2saint, Aklo(x3), Albert, Aura, billybopeep, bobby big ballz(x2), DankBot, Gahtzu, Ginger(x4), iBDW(x2), Medz(x2), moky, Plup, Polish, S2J(x2), Secrets, SFAT(x3), Sora/Joshman, Trif, Wizzrobe(x2), Zain, ",
Wizzrobe,"2saint(x2), Akir, Aklo(x3), aMSa, Aura, Axe(x2), Colbol, Eddy Mexico, Flash, Frenzy, Ginger(x3), Hungrybox(x5), KoDoRiN(x2), Leffen, lloD(x2), Logan, Lucky, Magi, Mew2King, null, OkayP.(x2), Polish, Rocky, SFAT(x2), Skerzo, TheSWOOPER, Trif, Wally, Wevans, Zealot, ","Ben, Hungrybox, iBDW(x2), Magi, Mang0(x2), moky, n0ne/ Bond / wizzyfan109, Plup(x3), SFAT(x2), Zain, ",
Zain,"2saint, Aklo, aMSa, Axe, bobby big ballz, Bones, Colbol, Gahtzu, Ginger, Grab, Hungrybox(x3), iBDW(x2), JSalt, Kalamazhu, KoDoRiN(x2), Komodo, lloD, Mang0, moky, n0ne/ Bond / wizzyfan109, Plup, Polish, Ryobeat, S2J(x2), Salt, SFAT, SluG, Sora/Joshman, Unsure, Wizzrobe, Zamu, ","Aklo, Ben, bobby big ballz, iBDW, Jflex, Jmook, JOJI, lloD, Mang0(x3), S2J, Siddward, ",
aMSa,"Aklo, Far!, Free Palestine, Gahtzu, Hungrybox, Jmook, Kalamazhu, lloD, Mang0(x2), n0ne/ Bond / wizzyfan109, SFAT, ","Axe, Hungrybox, iBDW, Plup, Trif, Wizzrobe, Zain, ",
Plup,"2saint, Aklo, aMSa, Axe, Ben, billybopeep, Dacky, Eddy Mexico, Faceroll(x2), Fiction, Gahtzu, Ginger, Hungrybox, iBDW, Ice, Juicebox, KoDoRiN(x4), Logan, Lotfy, Lucky, Mang0, Medz, n0ne/ Bond / wizzyfan109(x2), Pipsqueak, SFAT(x3), Wizzrobe(x3), ","iBDW(x2), Mang0, SFAT, Zain, ",
iBDW,"2saint(x2), Albert(x2), aMSa, Axe(x2), Azel, Ben, Chem(x2), Colbol, Dacky(x2), Gahtzu, Ginger, Hungrybox(x3), Just Jason, Kalvar, KoDoRiN(x2), Krudo, Leffen, lloD, Logan(x2), Mang0, Medz, moky, Mot$, Neologism, Panda, Pipsqueak, Plup(x2), Polish(x2), S2J(x2), SFAT(x3), Skerzo, Swift, Trail, Wally, Warmmer, Westballz, Wizzrobe(x2), Zain, Zealot, Zeeker, Zuppy, ","Aklo, Ben Snape, Chem, Drephen, Ginger, Hungrybox, Jmook, Joe(y) Bats, Just Jason, KoDoRiN, Lotfy, Mang0, Plup, Polish, S2J(x3), TheSWOOPER, Zain(x2), ",
Mew2King,"Aura, Frenzy, ","Epic Murloc, KoDoRiN, Mekk, Wizzrobe, ",
